INFO 2025-10-01 14:08:33,761 basehttp 26848 19464 "OPTIONS /api/face/register/ HTTP/1.1" 200 0
INFO 2025-10-01 14:08:34,706 basehttp 26848 19464 "POST /api/face/register/ HTTP/1.1" 201 61
ERROR 2025-10-01 14:08:49,989 log 26848 19464 Internal Server Error: /api/face/recognize/
ERROR 2025-10-01 14:08:49,990 basehttp 26848 19464 "POST /api/face/recognize/ HTTP/1.1" 500 71
ERROR 2025-10-01 14:08:58,085 log 26848 21336 Internal Server Error: /api/face/recognize/
ERROR 2025-10-01 14:08:58,086 basehttp 26848 21336 "POST /api/face/recognize/ HTTP/1.1" 500 71
INFO 2025-10-01 14:16:05,975 autoreload 26848 13100 C:\si2 2-2025\primer parcial si2\implementacion condomio\backend\accounts\views.py changed, reloading.
INFO 2025-10-01 14:16:07,924 autoreload 26292 23456 Watching for file changes with StatReloader
INFO 2025-10-01 14:16:20,884 autoreload 24948 15876 Watching for file changes with StatReloader
ERROR 2025-10-01 14:16:40,777 log 24948 7408 Internal Server Error: /api/face/recognize/
ERROR 2025-10-01 14:16:40,778 basehttp 24948 7408 "POST /api/face/recognize/ HTTP/1.1" 500 92
INFO 2025-10-01 14:20:54,087 autoreload 24948 15876 C:\si2 2-2025\primer parcial si2\implementacion condomio\backend\accounts\models.py changed, reloading.
INFO 2025-10-01 14:20:55,235 autoreload 21104 22420 Watching for file changes with StatReloader
INFO 2025-10-01 14:28:29,039 autoreload 21104 22420 C:\si2 2-2025\primer parcial si2\implementacion condomio\backend\accounts\views.py changed, reloading.
INFO 2025-10-01 14:28:30,941 autoreload 7716 17184 Watching for file changes with StatReloader
INFO 2025-10-01 14:32:58,979 autoreload 1532 13408 Watching for file changes with StatReloader
INFO 2025-10-01 14:33:20,598 basehttp 1532 24408 "POST /api/face/recognize/ HTTP/1.1" 200 278
INFO 2025-10-01 14:33:45,166 basehttp 1532 24036 "GET /api/users/ HTTP/1.1" 200 602
INFO 2025-10-01 14:33:45,246 basehttp 1532 27500 "GET /api/users/ HTTP/1.1" 200 602
WARNING 2025-10-01 14:35:27,528 log 1532 26416 Bad Request: /api/auth/register/
WARNING 2025-10-01 14:35:27,529 basehttp 1532 26416 "POST /api/auth/register/ HTTP/1.1" 400 103
INFO 2025-10-01 14:35:35,519 basehttp 1532 26416 "POST /api/auth/register/ HTTP/1.1" 201 202
